Time,Sus Deriv
60,0.0
120,0.0
180,1.6666666666666667
240,1.6666666666666667
300,0.0
360,0.0
420,1.6666666666666667
480,0.0
540,0.0
600,0.0
660,0.0
720,1.3333333333333333
780,0.0
840,0.0
900,0.0
960,0.0
1020,1.3333333333333333
1080,0.0
1140,0.0
1200,0.0
1260,0.0
1320,0.0
1380,0.0
1440,0.0
1500,0.0
1560,0.0
1620,0.0
1680,0.0
1740,0.0
1800,0.0
1860,0.5
1920,0.0
1980,0.0
2040,0.0
2100,0.0
2160,-0.004166666666666667
2220,-0.008333333333333333
2280,-0.004166666666666667
2340,-0.008333333333333333
2400,-0.004166666666666667
2460,-0.0125
2520,-0.0125
2580,0.0
2640,0.0
2700,-0.004166666666666667
2760,-0.004166666666666667
2820,-0.0125
2880,-0.0125
2940,-0.0125
3000,0.0
3060,1.6583333333333334
3120,1.6666666666666667
3180,-0.004166666666666667
3240,-0.008333333333333333
3300,0.0
3360,-0.004166666666666667
3420,0.0
3480,0.0
3540,-0.004166666666666667
3600,0.0
3660,0.0
3720,-0.004166666666666667
3780,0.0
3840,-0.004166666666666667
3900,-0.004166666666666667
3960,0.0
4020,0.5
4080,0.0
4140,0.0
4200,0.0
4260,0.0
4320,0.0
4380,0.0
4440,0.0
4500,-0.004166666666666667
4560,0.0
4620,0.0
4680,0.0
4740,-0.008333333333333333
4800,-0.008333333333333333
4860,-0.008333333333333333
4920,0.0
4980,-0.004166666666666667
5040,-0.008333333333333333
5100,0.0
5160,-0.004166666666666667
5220,0.0
5280,0.0
5340,0.0
5400,0.0
5460,0.0
5520,0.0
5580,0.0
5640,-0.004166666666666667
5700,0.0
5760,0.0
5820,-0.004166666666666667
5880,-0.004166666666666667
5940,-0.008333333333333333
6000,-0.008333333333333333
6060,0.4875
6120,-0.020833333333333332
6180,0.49583333333333335
6240,-0.004166666666666667
6300,-0.004166666666666667
6360,0.0
6420,-0.004166666666666667
6480,-0.004166666666666667
6540,0.0
6600,-0.004166666666666667
6660,0.0
6720,0.0
6780,-0.004166666666666667
6840,0.0
6900,0.0
6960,0.0
7020,0.0
7080,-0.004166666666666667
7140,-0.004166666666666667
7200,0.0
7260,-0.016666666666666666
7320,0.49583333333333335
7380,0.49166666666666664
7440,0.0
7500,0.0
7560,0.5
7620,0
7680,0
7740,0
7800,0
7860,0
7920,0
7980,0
8040,0
8100,0
8160,-0.004166666666666667
8220,1.6666666666666667
8280,1.6666666666666667
8340,0.0
8400,0.0
8460,0.0
8520,0.0
8580,0.0
8640,0.0
8700,0.0
8760,0.0
8820,-0.004166666666666667
8880,0.0
8940,0.0
9000,0.0
9060,0.0
9120,0.0
9180,0.0
9240,0.0
9300,0.0
9360,0.0
9420,0.0
9480,0.0
9540,0.0
9600,-0.004166666666666667
9660,0.0
9720,0.0
