Driver,Var
Dane Cameron,366.76080099999984
Pipo Derani,707.80441224
Jonathan Bomarito,544.2965468
Helio Castroneves,549.00926944
Ryan Briscoe,520.5204853600002
Oliver Jarvis,664.86112
Sebastien Bourdais,677.9283858842975
Gabriel Aubry,572.9663281600001
Oliver Gavin,586.6869675000003
Jordan Taylor,740.4393739506172
Bruno Spengler,586.7181705000002
Aaron Telitz,533.5184716000001
Matt McMurry,582.6290672098766
Misha Goikhberg,393.64391416
Frankie Montecalvo,182.66325383673467
Robby Foley,440.53678113888895
Till Bechtolsheimer,1107.4560762099998
Ian James,811.7951896099997
Ryan Hardwick,304.1664725833333
Gar Robinson,259.7379526666667
John Potter,299.4150898055554
Corey Fergus,247.53938566666662
Rob Ferriol,1005.1515726399999
Jesse Krohn,533.81293325
Juan Pablo Montoya,388.6660727438018
Tommy Milner,659.9018226280994
John Edwards,649.3991559669421
Connor De Phillippi,632.0746703636364
Lawson Aschenbach,705.9526462314051
Andy Lally,315.1586505619834
Patrick Long,719.9750512892562
Townsend Bell,92.2655191388889
Felipe Nasr,799.24069176
Ricky Taylor,523.7250606666668
Tristan Vautier,657.9773858055556
Harry Tincknell,635.08307464
Renger van der Zande,659.0285382000001
Tristan Nunez,561.2148249600001
Jack Hawksworth,774.2440718677685
Paul Holton,306.8084617024793
Alvaro Parente,759.1358609752065
Antonio Garcia,527.0205939166668
Mario Farnbacher,625.194553234375
Roman De Angelis,651.7229493877551
Marc Miller,499.9939070612244
Bill Auberlen,364.9712111388889
Joao Barbosa,585.8175052500001
